rank	node	k_links_to_module	p_value
1	ADPGK	3	1.9681336391605335e-08
2	HKDC1	4	2.5526505874781234e-10
3	GALM	5	1.845415174247001e-12
4	ALDOC	6	1.2921163564661768e-14
5	HK3	7	4.1785680747285227e-16
6	HK1	8	9.925491272693636e-18
7	FBP1	9	2.807140962088165e-19
8	PGK2	10	7.10012210135329e-21
9	TKTL2	11	1.6823905390221217e-22
10	TKTL1	12	2.176816324162461e-24
11	GCK	13	3.5098277915045087e-26
12	PFKFB4	12	2.700583475279611e-28
13	TKT	15	4.671443967580745e-29
14	FBP2	14	1.978545943156268e-30
15	PFKFB2	14	1.9330371093812775e-32
16	PFKFB3	16	2.1121618529421343e-34
17	PGAM2	17	6.519284746800196e-36
18	PFKFB1	17	3.246074257117873e-38
19	PFKM	20	3.044924665742221e-39
20	ALDOA	21	5.281047046617289e-41
21	G6PD	23	1.2949921965587062e-42
22	BPGM	20	1.0407455815088846e-43
23	PFKP	23	1.1406606084971295e-45
24	PFKL	24	1.779635603162088e-47
25	GPI	27	4.886722718448283e-48
26	ALDOB	24	7.7287226356214275e-50
27	PYGL	26	2.4706671625595355e-50
28	PYGM	27	1.443814376938268e-51
29	PGAM1	26	5.8594150376043175e-52
30	TALDO1	29	1.1291338721363661e-52
31	H6PD	33	2.2194709034997638e-53
32	PGAM4	26	9.883884439003877e-56
33	TPI1	35	1.3770250088715009e-55
34	ENO3	32	1.8852392432053637e-57
35	TIGAR	26	7.827899181727771e-55
36	RPIA	30	1.4563785028239457e-56
37	GAPDHS	33	3.1131377475359114e-57
38	ENO4	31	3.70836238228204e-59
39	PGD	33	5.843097993238885e-60
40	ENO2	37	7.37278665416379e-60
41	PGM1	33	1.1074098412264056e-61
42	PKLR	39	9.19965073838285e-63
43	PKM	43	6.938878126072835e-63
44	PYGB	35	3.5567280875935986e-63
45	PGM2	35	3.622433423175594e-63
46	MDH2	40	2.6512563418229864e-64
47	CS	45	4.049081467982135e-65
48	LDHAL6A	34	3.649449963103849e-64
49	PC	39	7.184376797784217e-66
50	FH	43	1.1041754407648884e-66
51	DERA	35	3.7750463691203076e-64
52	LDHC	36	7.481782922918297e-66
53	IDH2	44	1.0700764915218966e-64
54	LDHAL6B	36	1.8796304833881752e-66
55	IDH1	47	1.611786265116836e-67
56	GBE1	37	1.0077792621738609e-66
57	PNMA8B	34	9.69763358696296e-63
58	PDHB	40	4.424326163015872e-61
59	RPEL1	32	1.7455153555683583e-62
60	ACO2	47	4.091453620860135e-62
61	PCK2	37	1.1303997355807337e-62
62	ACLY	45	1.7498429251361763e-63
63	ACO1	45	3.686332024805488e-64
64	OGDH	41	5.686766940126495e-66
65	DLAT	44	3.7929470155535773e-67
66	RPE	37	9.675964340194207e-67
67	ME3	37	3.0950144429555653e-68
68	PCK1	44	9.23530721364947e-67
69	GLUD1	43	2.160723567191051e-65
70	ME2	37	1.5927110222107434e-66
71	PDHA2	40	2.601631771893833e-68
72	ME1	40	5.754416744265469e-67
73	MDH1B	38	1.2127352079599477e-68
74	GOT2	51	7.456825481506907e-70
75	DLST	45	6.402337277470231e-71
76	MPI	38	2.297438518562517e-68
77	GOT1	44	7.080972920286411e-68
78	SORD	47	8.170735863244675e-69
79	SUCLG1	51	8.129759078384849e-67
80	GRHPR	44	3.176452982847208e-68
81	SHMT2	51	9.170158593351986e-70
82	DLD	52	5.0682998916890704e-71
83	SDHA	59	3.786765025189263e-71
84	GAPDH	78	7.850584852920997e-69
85	SHMT1	49	4.340282009795036e-70
86	PDK1	41	1.210311737815359e-69
87	IDH3A	44	1.939902701751089e-68
88	OGDHL	41	1.097948553217986e-69
89	BCKDHA	43	5.67404765285125e-69
90	BCKDHB	45	4.4839285622018057e-69
91	PDHX	47	1.602862819869175e-70
92	SDHB	58	1.1120774837811926e-68
93	GLUD2	44	4.944300974001582e-69
94	SUCLA2	48	3.4784000844969205e-70
95	GSR	52	6.780525608442522e-67
96	ATP5F1A	62	8.713262633451428e-68
97	IDH3G	44	2.482233354054924e-64
98	GOT1L1	42	2.2407669418216822e-64
99	SLC2A1	51	2.364145980134865e-62
100	GLUL	49	8.617756540329625e-61
101	ALDH18A1	57	1.0844103594069382e-60
102	GLYCTK	32	1.803758338387138e-60
103	ACSS2	44	1.027119483610525e-58
104	ALDH5A1	42	8.904876764027863e-60
105	ACAA2	46	1.224421390621022e-59
106	IDH3B	42	2.180328004583411e-58
107	ACSS1	43	1.5327735600194899e-59
108	GPT2	43	2.0305704108017372e-58
109	GPT	53	2.885895784678933e-59
110	PSAT1	44	2.921530973182119e-60
111	PHGDH	51	1.7851371560456957e-61
112	GLDC	43	1.8392771368233183e-59
113	BCAT1	41	7.635805490960796e-61
114	DBT	45	2.5593111778764887e-59
115	BCAT2	42	8.257755211609013e-61
116	SDHC	55	3.9388210026904914e-61
117	TXNRD1	49	1.5148537184087852e-61
118	ASS1	47	1.8259896464937303e-62
119	SUCLG2	49	6.431936846369604e-60
120	DHTKD1	40	1.3345096221199437e-60
121	TXNRD2	47	2.744633337852442e-59
122	TXNRD3	42	9.275409994871907e-61
123	HADHB	48	7.711433811392665e-59
124	MTHFD2	42	3.603235320718567e-58
125	MTHFD1	41	3.3336734227178317e-59
126	ALDH4A1	42	3.8553658898334936e-57
127	ALDH9A1	43	3.334092926535478e-58
128	PCCB	45	2.2718090517304787e-57
129	PARP8	46	2.9518819010989183e-56
130	GPD2	42	1.4755338325061869e-55
131	PARP6	46	2.6009016880856695e-55
132	ILVBL	37	5.071603357998871e-55
133	TUFM	59	3.990448623553225e-54
134	OAT	45	1.8789636262128036e-55
135	ATP5F1C	57	4.502253282988394e-55
136	GART	59	1.792160931612692e-54
137	L2HGDH	36	6.363874784371768e-56
138	ALDH2	45	1.8567074749774896e-53
139	HMGCL	43	1.0322862109091825e-54
140	ECHS1	49	3.6280861082258965e-55
141	ADSL	47	8.1250865473829635e-53
142	AMT	37	1.704891373523817e-54
143	RBKS	36	3.6566836963967304e-53
144	UEVLD	37	7.153526937971284e-53
145	ASL	37	2.2341030573911656e-52
146	HACL1	38	6.1845751307053755e-52
147	AGXT	46	6.270421867545656e-53
148	RNF138	32	7.466899635614975e-53
149	UGP2	35	1.72713429661249e-51
150	ACACA	48	5.714448666895743e-51
151	HADH	43	1.5249745574705024e-51
152	FASN	58	2.1084983103164744e-52
153	ETFA	47	2.2530021641191623e-53
154	ACAT1	43	1.539473406538919e-53
155	ACADM	49	8.459901656307578e-54
156	MCCC2	42	1.613460127497459e-54
157	NDUFS8	60	1.03592047498095e-54
158	ALDH3A2	48	1.0230584987965082e-55
159	HMGCLL1	38	1.2610859761182243e-53
160	HSDL2	46	1.6982238293048462e-51
161	OXSM	46	1.7742194558715498e-52
162	PCCA	39	1.1530650693222446e-53
163	HADHA	49	5.818023458369455e-55
164	ACAA1	48	4.754789442346001e-55
165	ACACB	46	1.5487930961338275e-56
166	ALDH6A1	38	1.870140224447823e-55
167	ACADL	47	4.570457383323917e-56
168	ALDH1B1	42	4.4064798193575474e-54
169	ACOX1	54	6.824302530848719e-54
170	ACADS	45	1.7496825523468132e-55
171	ACAT2	45	4.079889330480893e-57
172	OXCT1	39	7.64492090320717e-58
173	ACADVL	49	1.1161452255310388e-58
174	ACSS3	41	2.87923645592087e-58
175	EHHADH	52	1.9613710916905816e-58
176	ACADSB	46	9.25166322261381e-60
177	ETFB	47	5.77073630325775e-60
178	AGXT2	45	2.3557408575553862e-58
179	ALDH7A1	52	9.42308553897208e-59
180	HIBADH	42	3.1705624383427967e-58
181	IVD	43	1.4492237710184436e-58
182	MCCC1	45	1.7308853691405484e-59
183	GCDH	49	4.897425667033702e-61
184	ETFDH	48	1.275774185284466e-62
185	ECI1	50	3.2462426027612516e-63
186	HIBCH	57	5.0714803139631144e-64
187	ACAD8	46	3.888910726244967e-64
188	ECHDC1	48	7.3828490810338e-63
189	ACOX3	55	6.132116305391174e-64
190	ECI2	56	7.788527214296745e-65
191	CPT2	51	9.450431876904067e-65
192	ABAT	45	3.0767585357844227e-63
193	MCEE	47	6.245418318127904e-62
194	ADHFE1	46	1.2198077631119835e-62
195	PDK4	50	2.7803456246970692e-61
196	HSD17B4	53	4.654487712622403e-61
197	ACAD9	54	5.0281483580439096e-61
198	AACS	44	4.3013904085259054e-61
199	CRYL1	47	1.9483883338794892e-61
200	DECR1	43	1.382220247390505e-62
